date,spend,permits,permit_val,starts,completions,manufactured,new_for_sale,months_supply,emratio,pop_level,gdp,mortgage_rate,fed_fund_rate,disp_income,pm_save,consump_durable,new_sold,hp_idx,rent_vacancy,owner_vacancy,week_earning,delinquent_rate,hor,hp_idx_qtr
2010-05-01,252896,435,7685.273,457,518.0,56,215,9.3,58.6,237499,99.2941234372124,4.8875,0.2,11887.9,762.1,1041.7,280,146.394,10.5,2.5,776.0,10.94,66.9,145.4398888888889
2010-01-01,254826,504,5932.835,510,448.0,51,231,8.1,58.5,236832,98.6605222423923,5.03,0.05,11644.6,653.0,1006.1,345,147.395,10.6,2.6,787.0,11.48,67.1,146.295
2018-01-01,570932,870,15534.35,883,854.0,104,294,6.2,60.1,256780,100.25452138188,4.0325,1.33,14173.9,1081.7,1448.6,590,198.294,7.0,1.5,922.0,3.48,64.2,199.15233333333333
2006-09-01,573878,1218,17880.864,1384,1675.0,102,561,6.7,63.1,229420,101.091674002951,6.4025,5.25,11252.3,327.3,1166.9,1016,182.798,9.833333333333334,2.6333333333333333,726.0,1.86,68.93333333333334,183.3723333333333
2012-07-01,273587,519,10255.567,517,474.0,54,142,4.3,58.5,243354,100.117449528689,3.55,0.09,12396.5,967.8,1134.7,369,141.66899999999998,8.6,1.9,803.0,10.47,65.5,142.28633333333332
2020-04-01,595620,673,15597.214,685,865.0,73,321,6.6,51.3,259896,93.1524984819753,3.306,0.06,17246.2,6428.1,1200.9,569,216.80900000000003,5.7,0.9,1046.0,2.54,67.9,217.1603333333333
2008-10-01,329304,469,7840.813,542,749.0,69,384,11.6,61.7,234612,99.8348478852141,6.2,1.15,11616.7,576.0,1026.6,393,158.326,10.1,2.9,764.0,6.58,67.5,156.02833333333334
2001-09-01,368809,1192,12625.708,1243,1262.0,203,310,4.4,63.5,215665,99.3756765019665,6.8175,3.66,9896.5,551.5,904.1,853,114.811,8.666666666666668,1.8333333333333333,640.0,2.2333333333333334,68.03333333333333,115.30144444444444
2015-09-01,448021,711,14155.573,745,657.0,72,227,6.5,59.2,251325,100.292957638507,3.89,0.14,13392.0,1024.8,1316.6,456,173.83,7.1,1.9,867.0,5.203333333333333,63.766666666666666,174.78344444444446
2014-01-01,368359,621,9705.136,567,597.0,58,188,5.7,58.8,246915,99.7462179736913,4.432,0.07,12513.3,856.8,1173.9,443,161.92700000000002,8.3,2.0,837.0,7.77,64.8,162.514
2007-02-01,531641,1136,14309.248,1189,1318.0,97,540,7.9,63.3,230834,101.286349012281,6.285,5.29,11439.6,372.9,1175.1,828,184.598,9.9,2.7333333333333334,733.6666666666666,2.15,68.33333333333334,183.48777777777775
2007-09-01,465709,855,12705.234,935,1085.0,93,527,9.2,62.9,232461,101.810147866904,6.3825,4.96,11527.1,333.6,1202.6,686,177.558,9.666666666666666,2.7666666666666666,742.3333333333334,2.97,67.93333333333334,176.3346666666667
2000-06-01,348133,1156,15316.961,1202,1190.0,262,308,4.8,64.5,212466,101.764316576159,8.288,6.65,9483.3,355.3,898.2,793,104.424,8.133333333333333,1.5666666666666669,609.3333333333334,2.053333333333333,67.53333333333333,105.08233333333332
2003-09-01,458676,1533,19497.695,1555,1413.0,128,350,3.8,62.0,221779,99.2910603370761,6.1475,1.01,10369.1,439.1,1041.1,1131,136.29399999999998,10.1,1.8333333333333333,665.3333333333334,1.75,68.53333333333333,137.5607777777778
2010-11-01,237468,418,6055.982,452,432.0,44,195,8.2,58.2,238715,99.7466508252047,4.3,0.2,11960.5,703.7,1077.5,287,142.172,9.5,2.666666666666667,789.0,10.34,66.46666666666667,141.70922222222222
2012-09-01,286120,557,9429.282,594,512.0,53,146,4.8,58.7,243772,99.9772877879955,3.4975,0.13,12453.3,1009.3,1151.9,385,142.909,8.666666666666666,1.9,816.3333333333334,10.17,65.43333333333334,143.80455555555557
2015-10-01,448256,724,14246.068,709,646.0,74,228,5.8,59.3,251541,100.210856808558,3.796,0.13,13419.8,1042.7,1308.8,482,174.793,7.0,1.9,872.0,5.11,63.8,175.69233333333332
