iter	Passed	Remaining
655	1962	1029
656	1965	1026
657	1968	1022
658	1970	1019
659	1973	1016
660	1975	1013
661	1978	1010
662	1981	1007
663	1984	1004
664	1986	1000
665	1989	997
666	1992	994
667	1994	991
668	1998	988
669	2000	985
670	2003	982
671	2006	979
672	2008	975
673	2012	973
674	2015	970
675	2017	967
676	2020	963
677	2022	960
678	2025	957
679	2028	954
680	2030	951
681	2032	947
682	2035	944
683	2038	941
684	2041	938
685	2044	935
686	2046	932
687	2049	929
688	2051	926
689	2054	923
690	2057	920
691	2060	916
692	2062	913
693	2065	910
694	2067	907
695	2070	904
696	2073	901
697	2076	898
698	2078	895
699	2081	891
700	2083	888
701	2086	885
702	2089	882
703	2092	879
704	2094	876
705	2097	873
706	2100	870
707	2103	867
708	2105	864
709	2108	861
710	2111	858
711	2113	854
712	2116	851
713	2119	848
714	2121	845
715	2124	842
716	2127	839
717	2129	836
718	2132	833
719	2135	830
720	2137	827
721	2140	824
722	2142	820
723	2144	817
724	2148	814
725	2150	811
726	2153	808
727	2156	805
728	2158	802
729	2161	799
730	2164	796
731	2167	793
732	2170	790
733	2172	787
734	2175	784
735	2179	781
736	2181	778
737	2184	775
738	2187	772
739	2189	769
740	2192	766
741	2195	763
742	2197	760
743	2200	757
744	2203	754
745	2206	751
746	2209	748
747	2212	745
748	2214	742
749	2217	739
750	2220	736
751	2222	732
752	2225	730
753	2228	726
754	2230	723
755	2232	720
756	2235	717
757	2238	714
758	2241	711
759	2244	708
760	2246	705
761	2249	702
762	2251	699
763	2254	696
764	2257	693
765	2260	690
766	2262	687
767	2265	684
768	2268	681
769	2271	678
770	2274	675
771	2277	672
772	2279	669
773	2281	666
774	2284	663
775	2287	660
776	2290	657
777	2293	654
778	2296	651
779	2298	648
780	2302	645
781	2304	642
782	2307	639
783	2310	636
784	2313	633
785	2316	630
786	2319	627
787	2321	624
788	2324	621
789	2327	618
790	2330	615
791	2333	612
792	2335	609
793	2338	606
794	2340	603
795	2343	600
