iter	RMSE
814	0.2329422779
815	0.2327356896
816	0.2326408468
817	0.2320793684
818	0.2318304718
819	0.231217465
820	0.2309317258
821	0.2305326016
822	0.2302940544
823	0.229770449
824	0.2287722148
825	0.2285129776
826	0.2279552479
827	0.2278502151
828	0.2276142414
829	0.2273570343
830	0.2266407368
831	0.2260190792
832	0.2254008184
833	0.2253377756
834	0.225149187
835	0.2245936683
836	0.2243613853
837	0.2237164809
838	0.2232607487
839	0.2231852336
840	0.22289494
841	0.2224952665
842	0.2223781334
843	0.2216948055
844	0.2214601813
845	0.2212623904
846	0.2209046152
847	0.2207994957
848	0.2202854563
849	0.2201807054
850	0.2196837769
851	0.2195116138
852	0.219235996
853	0.2185478815
854	0.2180625433
855	0.2178143449
856	0.2173130533
857	0.2170309957
858	0.2165534602
859	0.2161051683
860	0.2160332702
861	0.2157699522
862	0.2156571731
863	0.2154822464
864	0.2151435616
865	0.2145815213
866	0.2140591992
867	0.2135137875
868	0.2130162664
869	0.2129270138
870	0.2125143002
871	0.2122838326
872	0.2117821956
873	0.2115473441
874	0.2112314305
875	0.2108578301
876	0.2103840263
877	0.2097377153
878	0.2094486211
879	0.2090009084
880	0.2084199322
881	0.2080938033
882	0.2078067948
883	0.2077367225
884	0.207313135
885	0.2071073657
886	0.2068523229
887	0.2063431838
888	0.2062820786
889	0.2059693032
890	0.2054589809
891	0.2051622974
892	0.2045134111
893	0.204200198
894	0.2038732079
895	0.2036399924
896	0.2030730305
897	0.2026911347
898	0.2024660726
899	0.2021626468
900	0.2018637814
901	0.2017972344
902	0.2011040022
903	0.2006485762
904	0.2005766217
905	0.1999510557
906	0.1998994773
907	0.1996182048
908	0.1988193768
909	0.1982867718
910	0.1981858774
911	0.1980176223
912	0.1977482505
913	0.1971709731
914	0.1971043464
915	0.196820919
916	0.196430817
917	0.1961349631
918	0.1959172339
919	0.1954834888
920	0.1946552991
921	0.1942149623
922	0.1937138227
923	0.1933624357
924	0.1931059507
925	0.1927602969
926	0.1926681524
927	0.1919913786
928	0.1918797655
929	0.1918234494
930	0.1914312454
931	0.1911305515
932	0.1907364676
933	0.1902591735
934	0.1901945331
935	0.190008321
936	0.1894957242
937	0.1893269029
938	0.1892575786
939	0.1886421022
940	0.1884985398
941	0.1882381742
942	0.1879013816
943	0.1874401267
944	0.1868694299
945	0.1866270301
946	0.1865684695
947	0.18638188
948	0.1859051587
949	0.1854329456
950	0.1849893679
951	0.1849319091
952	0.1845393812
953	0.184080298
954	0.1837391305
955	0.1835265121
956	0.1832994831
957	0.1830632401
958	0.1828245841
959	0.1827493882
960	0.1821937246
961	0.1821397374
962	0.1817076674
963	0.1815032863
964	0.1813407879
965	0.1810563784
966	0.180877081
967	0.1804888918
968	0.1802137408
969	0.1799524985
970	0.1798693279
971	0.1796253496
972	0.1793878764
973	0.1791592624
974	0.1786544464
975	0.1784070069
976	0.1781815259
977	0.1779034414
978	0.1775076002
979	0.1774460195
980	0.1772602553
981	0.1767868209
982	0.1760210254
983	0.1757194559
984	0.1755923554
985	0.1752994892
986	0.1750948843
987	0.1750325209
988	0.1748682291
989	0.1746198435
990	0.1743894755
991	0.1738680086
992	0.173803656
993	0.1733053761
994	0.1729960515
995	0.1726306152
996	0.1724364706
997	0.1720208327
998	0.171819587
999	0.1716898958
